Gene stable ID	Transcript stable ID	Human gene stable ID	Human gene name	Human protein or transcript stable ID	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human homology type	Human orthology confidence [0 low, 1 high]
ENSTGUG00000000001	ENSTGUT00000000001	ENSG00000172375	C2CD2L	ENSP00000338885	11	119102198	ortholog_one2one	1
ENSTGUG00000000002	ENSTGUT00000000005	ENSG00000172269	DPAGT1	ENSP00000386597	11	119096503	ortholog_one2one	1
ENSTGUG00000000003	ENSTGUT00000000002	ENSG00000120738	EGR1	ENSP00000239938	5	138465479	ortholog_one2one	1
ENSTGUG00000000004	ENSTGUT00000000004	ENSG00000132563	REEP2	ENSP00000367590	5	138439057	ortholog_one2one	1
ENSTGUG00000000005	ENSTGUT00000000003							
ENSTGUG00000000006	ENSTGUT00000000010	ENSG00000078043	PIAS2	ENSP00000465676	18	46803218	ortholog_one2one	1
ENSTGUG00000000007	ENSTGUT00000000018	ENSG00000120733	KDM3B	ENSP00000326563	5	138352685	ortholog_one2one	1
ENSTGUG00000000008	ENSTGUT00000000006	ENSG00000188486	H2AFX	ENSP00000434024	11	119093854	ortholog_one2one	1
ENSTGUG00000000010	ENSTGUT00000000014	ENSG00000256269	HMBS	ENSP00000498786	11	119084866	ortholog_one2one	1
ENSTGUG00000000011	ENSTGUT00000000008	ENSG00000174684	B4GAT1	ENSP00000309096	11	66345374	ortholog_one2one	0
ENSTGUG00000000012	ENSTGUT00000000009	ENSG00000124942	AHNAK	ENSP00000367263	11	62433542	ortholog_one2one	0
ENSTGUG00000000013	ENSTGUT00000000011	ENSG00000167216	KATNAL2	ENSP00000245121	18	46917492	ortholog_one2many	1
ENSTGUG00000000014	ENSTGUT00000000012	ENSG00000167220	HDHD2	ENSP00000300605	18	47107408	ortholog_one2many	1
ENSTGUG00000000015	ENSTGUT00000000013	ENSG00000106346	USP42	ENSP00000301962	7	6104884	ortholog_one2many	0
ENSTGUG00000000016	ENSTGUT00000000024	ENSG00000175387	SMAD2	ENSP00000262160	18	47808957	ortholog_one2one	1
ENSTGUG00000000017	ENSTGUT00000000015	ENSG00000171161	ZNF672	ENSP00000421915	1	248838210	ortholog_one2many	0
ENSTGUG00000000018	ENSTGUT00000000020	ENSG00000160695	VPS11	ENSP00000481126	11	119067692	ortholog_one2one	1
ENSTGUG00000000019	ENSTGUT00000000016	ENSG00000185245	GP1BA	ENSP00000329380	17	4932277	ortholog_one2one	0
ENSTGUG00000000020	ENSTGUT00000000017							
ENSTGUG00000000021	ENSTGUT00000000019							
ENSTGUG00000000022	ENSTGUT00000000029							
ENSTGUG00000000023	ENSTGUT00000000030	ENSG00000031823	RANBP3	ENSP00000341483	19	5916139	ortholog_one2one	1
ENSTGUG00000000024	ENSTGUT00000000021	ENSG00000160683	CXCR5	ENSP00000292174	11	118883766	ortholog_one2one	1
ENSTGUG00000000025	ENSTGUT00000000022	ENSG00000186174	BCL9L	ENSP00000335320	11	118893875	ortholog_one2one	1
ENSTGUG00000000026	ENSTGUT00000000023							
ENSTGUG00000000027	ENSTGUT00000000025	ENSG00000186166	CCDC84	ENSP00000334767	11	118998138	ortholog_one2one	1
ENSTGUG00000000027	ENSTGUT00000000026	ENSG00000186166	CCDC84	ENSP00000334767	11	118998138	ortholog_one2one	1
ENSTGUG00000000027	ENSTGUT00000000027	ENSG00000186166	CCDC84	ENSP00000334767	11	118998138	ortholog_one2one	1
ENSTGUG00000000028	ENSTGUT00000000028	ENSG00000184828	ZBTB7C	ENSP00000468782	18	48026672	ortholog_one2one	1
ENSTGUG00000000029	ENSTGUT00000000034	ENSG00000196655	TRAPPC4	ENSP00000436005	11	119018432	ortholog_one2one	1
ENSTGUG00000000030	ENSTGUT00000000031	ENSG00000134030	CTIF	ENSP00000372459	18	48539031	ortholog_one2one	1
ENSTGUG00000000031	ENSTGUT00000000035	ENSG00000146013	GFRA3	ENSP00000274721	5	138252380	ortholog_one2one	1
ENSTGUG00000000032	ENSTGUT00000000036	ENSG00000105143	SLC1A6	ENSP00000221742	19	14950034	ortholog_one2one	1
ENSTGUG00000000033	ENSTGUT00000000032	ENSG00000101665	SMAD7	ENSP00000262158	18	48919853	ortholog_one2many	1
ENSTGUG00000000034	ENSTGUT00000000033	ENSG00000101665	SMAD7	ENSP00000262158	18	48919853	ortholog_one2many	1
ENSTGUG00000000035	ENSTGUT00000000040	ENSG00000141627	DYM	ENSP00000269445	18	49041474	ortholog_one2many	1
ENSTGUG00000000036	ENSTGUT00000000037	ENSG00000137700	SLC37A4	ENSP00000476176	11	119024114	ortholog_one2one	1
ENSTGUG00000000037	ENSTGUT00000000038	ENSG00000094880	CDC23	ENSP00000378350	5	138187650	ortholog_one2one	1
ENSTGUG00000000038	ENSTGUT00000000045	ENSG00000196365	LONP1	ENSP00000353826	19	5691834	ortholog_one2many	1
ENSTGUG00000000039	ENSTGUT00000000047	ENSG00000149428	HYOU1	ENSP00000480150	11	119044188	ortholog_one2one	1
ENSTGUG00000000040	ENSTGUT00000000044	ENSG00000176049	JAKMIP2	ENSP00000479248	5	147585438	ortholog_one2one	1
ENSTGUG00000000041	ENSTGUT00000000039	ENSG00000152785	BMP3	ENSP00000282701	4	81030708	ortholog_one2many	0
ENSTGUG00000000042	ENSTGUT00000000042	ENSG00000033100	CHPF2	ENSP00000035307	7	151232489	ortholog_one2one	1
ENSTGUG00000000043	ENSTGUT00000000041							
ENSTGUG00000000044	ENSTGUT00000000050							
ENSTGUG00000000045	ENSTGUT00000000043							
ENSTGUG00000000046	ENSTGUT00000000049	ENSG00000285292	ABCF2	ENSP00000222388	7	151207837	ortholog_one2many	1
ENSTGUG00000000046	ENSTGUT00000000049	ENSG00000033050	ABCF2	ENSP00000287844	7	151211484	ortholog_one2many	1
ENSTGUG00000000047	ENSTGUT00000000059	ENSG00000113657	DPYSL3	ENSP00000343690	5	147390808	ortholog_one2one	1
ENSTGUG00000000048	ENSTGUT00000000046	ENSG00000196365	LONP1	ENSP00000353826	19	5691834	ortholog_one2many	0
ENSTGUG00000000049	ENSTGUT00000000048	ENSG00000130255	RPL36	ENSP00000464342	19	5674947	ortholog_one2one	1
ENSTGUG00000000050	ENSTGUT00000000053	ENSG00000019144	PHLDB1	ENSP00000354498	11	118606440	ortholog_one2one	1
ENSTGUG00000000051	ENSTGUT00000000054	ENSG00000176619	LMNB2	ENSP00000327054	19	2427638	ortholog_one2one	1
ENSTGUG00000000052	ENSTGUT00000000051	ENSG00000285480	AC021097.2	ENSP00000495192	7	151207837	ortholog_one2one	1
ENSTGUG00000000053	ENSTGUT00000000055	ENSG00000266997	AC090227.1	ENSP00000467396	18	49795793	ortholog_many2many	0
ENSTGUG00000000053	ENSTGUT00000000055	ENSG00000167306	MYO5B	ENSP00000285039	18	49822789	ortholog_many2many	1
ENSTGUG00000000054	ENSTGUT00000000052	ENSG00000146926	ASB10	ENSP00000391137	7	151175698	ortholog_one2one	1
ENSTGUG00000000055	ENSTGUT00000000063	ENSG00000133612	AGAP3	ENSP00000380413	7	151085831	ortholog_one2one	1
ENSTGUG00000000056	ENSTGUT00000000056	ENSG00000095139	ARCN1	ENSP00000264028	11	118572390	ortholog_one2one	1
ENSTGUG00000000057	ENSTGUT00000000060	ENSG00000178297	TMPRSS9	ENSP00000497651	19	2360238	ortholog_one2one	1
ENSTGUG00000000058	ENSTGUT00000000058	ENSG00000167315	ACAA2	ENSP00000285093	18	49782164	ortholog_one2many	1
ENSTGUG00000000059	ENSTGUT00000000057	ENSG00000118096	IFT46	ENSP00000264020	11	118544528	ortholog_one2one	1
ENSTGUG00000000060	ENSTGUT00000000061	ENSG00000149582	TMEM25	ENSP00000431548	11	118531041	ortholog_one2one	1
ENSTGUG00000000061	ENSTGUT00000000068	ENSG00000101670	LIPG	ENSP00000261292	18	49560699	ortholog_one2one	1
ENSTGUG00000000062	ENSTGUT00000000066	ENSG00000169302	STK32A	ENSP00000381535	5	147234963	ortholog_one2one	1
ENSTGUG00000000063	ENSTGUT00000000064	ENSG00000005206	SPPL2B	ENSP00000478298	19	2328615	ortholog_one2one	1
ENSTGUG00000000064	ENSTGUT00000000062	ENSG00000172425	TTC36	ENSP00000307640	11	118527472	ortholog_one2one	1
ENSTGUG00000000065	ENSTGUT00000000072	ENSG00000285827	AP001267.5	ENSP00000498126	11	118401602	ortholog_one2many	0
ENSTGUG00000000065	ENSTGUT00000000072	ENSG00000118058	KMT2A	ENSP00000436786	11	118436464	ortholog_one2many	1
ENSTGUG00000000066	ENSTGUT00000000070	ENSG00000164896	FASTK	ENSP00000297532	7	151076593	ortholog_one2one	1
ENSTGUG00000000067	ENSTGUT00000000065	ENSG00000130332	LSM7	ENSP00000252622	19	2321520	ortholog_one2one	1
ENSTGUG00000000068	ENSTGUT00000000067							
ENSTGUG00000000069	ENSTGUT00000000076	ENSG00000156475	PPP2R2B	ENSP00000377936	5	146581146	ortholog_one2one	1
ENSTGUG00000000070	ENSTGUT00000000074	ENSG00000090661	CERS4	ENSP00000251363	19	8206736	ortholog_one2one	0
ENSTGUG00000000071	ENSTGUT00000000069							
ENSTGUG00000000072	ENSTGUT00000000071							
ENSTGUG00000000073	ENSTGUT00000000078	ENSG00000164889	SLC4A2	ENSP00000419412	7	151057210	ortholog_one2one	0
ENSTGUG00000000074	ENSTGUT00000000073	ENSG00000266997	AC090227.1	ENSP00000467396	18	49795793	ortholog_many2many	0
ENSTGUG00000000074	ENSTGUT00000000073	ENSG00000167306	MYO5B	ENSP00000285039	18	49822789	ortholog_many2many	0
ENSTGUG00000000075	ENSTGUT00000000079							
ENSTGUG00000000076	ENSTGUT00000000080	ENSG00000167283	ATP5MG	ENSP00000300688	11	118401606	ortholog_one2many	1
ENSTGUG00000000076	ENSTGUT00000000080	ENSG00000249222	ATP5MGL	ENSP00000421076	22	42639803	ortholog_one2many	1
ENSTGUG00000000077	ENSTGUT00000000075							
ENSTGUG00000000078	ENSTGUT00000000077							
ENSTGUG00000000079	ENSTGUT00000000082	ENSG00000113649	TCERG1	ENSP00000296702	5	146447311	ortholog_one2one	1
ENSTGUG00000000079	ENSTGUT00000000084	ENSG00000113649	TCERG1	ENSP00000296702	5	146447311	ortholog_one2one	1
ENSTGUG00000000080	ENSTGUT00000000081	ENSG00000099785	MARCH2	ENSP00000471536	19	8413270	ortholog_one2one	1
ENSTGUG00000000081	ENSTGUT00000000083							
ENSTGUG00000000082	ENSTGUT00000000090	ENSG00000113441	LNPEP	ENSP00000231368	5	96935394	ortholog_one2many	1
ENSTGUG00000000083	ENSTGUT00000000099	ENSG00000110344	UBE4A	ENSP00000387362	11	118359585	ortholog_one2one	1
ENSTGUG00000000084	ENSTGUT00000000085							
ENSTGUG00000000085	ENSTGUT00000000088	ENSG00000275740	AC091959.3	ENSP00000475384	5	146203550	ortholog_one2many	1
ENSTGUG00000000085	ENSTGUT00000000091	ENSG00000275740	AC091959.3	ENSP00000475384	5	146203550	ortholog_one2many	1
ENSTGUG00000000085	ENSTGUT00000000088	ENSG00000091009	RBM27	ENSP00000265271	5	146203605	ortholog_one2many	1
ENSTGUG00000000085	ENSTGUT00000000091	ENSG00000091009	RBM27	ENSP00000265271	5	146203605	ortholog_one2many	1
ENSTGUG00000000086	ENSTGUT00000000086	ENSG00000167772	ANGPTL4	ENSP00000301455	19	8363289	ortholog_one2one	1
ENSTGUG00000000087	ENSTGUT00000000087	ENSG00000179195	ZNF664	ENSP00000441405	12	123971845	ortholog_one2many	0
ENSTGUG00000000088	ENSTGUT00000000089	ENSG00000186994	KANK3	ENSP00000328923	19	8322584	ortholog_one2many	0
ENSTGUG00000000089	ENSTGUT00000000094	ENSG00000186994	KANK3	ENSP00000328923	19	8322584	ortholog_one2many	0
ENSTGUG00000000090	ENSTGUT00000000092	ENSG00000204946	ZNF783	ENSP00000410890	7	149262171	ortholog_one2one	0
ENSTGUG00000000091	ENSTGUT00000000095	ENSG00000255872	AL138752.2	ENSP00000457548	9	37588413	ortholog_one2many	0
ENSTGUG00000000091	ENSTGUT00000000095	ENSG00000107338	SHB	ENSP00000366936	9	37915898	ortholog_one2many	1
ENSTGUG00000000092	ENSTGUT00000000122	ENSG00000133706	LARS	ENSP00000377954	5	146113034	ortholog_one2many	1
ENSTGUG00000000093	ENSTGUT00000000093							
ENSTGUG00000000094	ENSTGUT00000000097							
ENSTGUG00000000095	ENSTGUT00000000096	ENSG00000233927	RPS28	ENSP00000472469	19	8321158	ortholog_one2one	1
ENSTGUG00000000096	ENSTGUT00000000103	ENSG00000137075	RNF38	ENSP00000259605	9	36336396	ortholog_one2one	1
ENSTGUG00000000097	ENSTGUT00000000106	ENSG00000164045	CDC25A	ENSP00000303706	3	48157146	ortholog_one2one	1
ENSTGUG00000000098	ENSTGUT00000000098							
ENSTGUG00000000098	ENSTGUT00000000100							
ENSTGUG00000000099	ENSTGUT00000000107	ENSG00000048028	USP28	ENSP00000003302	11	113797874	ortholog_one2one	1
ENSTGUG00000000100	ENSTGUT00000000101							
ENSTGUG00000000101	ENSTGUT00000000102							
ENSTGUG00000000102	ENSTGUT00000000104	ENSG00000115350	POLE4	ENSP00000420176	2	74958492	ortholog_one2one	1
ENSTGUG00000000103	ENSTGUT00000000112	ENSG00000106785	TRIM14	ENSP00000344208	9	98069275	ortholog_one2one	1
ENSTGUG00000000104	ENSTGUT00000000105	ENSG00000133246	PRAM1	ENSP00000408342	19	8490056	ortholog_one2one	0
ENSTGUG00000000105	ENSTGUT00000000118							
ENSTGUG00000000106	ENSTGUT00000000108							
ENSTGUG00000000107	ENSTGUT00000000115	ENSG00000166736	HTR3A	ENSP00000347754	11	113974881	ortholog_one2one	1
ENSTGUG00000000108	ENSTGUT00000000109							
ENSTGUG00000000109	ENSTGUT00000000110	ENSG00000047849	MAP4	ENSP00000353375	3	47850690	ortholog_one2many	0
ENSTGUG00000000110	ENSTGUT00000000111	ENSG00000047849	MAP4	ENSP00000353375	3	47850690	ortholog_one2many	0
ENSTGUG00000000111	ENSTGUT00000000113							
ENSTGUG00000000112	ENSTGUT00000000119	ENSG00000132153	DHX30	ENSP00000405620	3	47802909	ortholog_one2many	1
ENSTGUG00000000113	ENSTGUT00000000114	ENSG00000095380	NANS	ENSP00000210444	9	98056732	ortholog_one2one	1
ENSTGUG00000000114	ENSTGUT00000000120	ENSG00000122705	CLTA	ENSP00000242285	9	36190856	ortholog_one2one	1
ENSTGUG00000000115	ENSTGUT00000000116	ENSG00000109906	ZBTB16	ENSP00000338157	11	114059593	ortholog_one2one	0
ENSTGUG00000000116	ENSTGUT00000000117							
ENSTGUG00000000117	ENSTGUT00000000121	ENSG00000255663	AP002373.1	ENSP00000461728	11	114400682	ortholog_one2many	1
ENSTGUG00000000117	ENSTGUT00000000121	ENSG00000076053	RBM7	ENSP00000364639	11	114400030	ortholog_one2many	1
ENSTGUG00000000118	ENSTGUT00000000123	ENSG00000066044	ELAVL1	ENSP00000385269	19	7958573	ortholog_one2one	1
ENSTGUG00000000119	ENSTGUT00000000145	ENSG00000173473	SMARCC1	ENSP00000254480	3	47585269	ortholog_one2many	1
ENSTGUG00000000120	ENSTGUT00000000131	ENSG00000159921	GNE	ENSP00000379839	9	36214441	ortholog_one2one	1
ENSTGUG00000000121	ENSTGUT00000000126	ENSG00000076043	REXO2	ENSP00000480535	11	114439386	ortholog_one2one	1
ENSTGUG00000000122	ENSTGUT00000000124	ENSG00000156463	SH3RF2	ENSP00000424497	5	145936578	ortholog_one2one	1
ENSTGUG00000000123	ENSTGUT00000000138	ENSG00000007264	MATK	ENSP00000378485	19	3777970	ortholog_one2one	1
ENSTGUG00000000124	ENSTGUT00000000125	ENSG00000133706	LARS	ENSP00000377954	5	146113034	ortholog_one2many	0
ENSTGUG00000000125	ENSTGUT00000000127	ENSG00000204928	GRXCR2	ENSP00000367214	5	145858521	ortholog_one2one	0
ENSTGUG00000000126	ENSTGUT00000000128							
ENSTGUG00000000127	ENSTGUT00000000129							
ENSTGUG00000000128	ENSTGUT00000000140	ENSG00000182985	CADM1	ENSP00000329797	11	115169218	ortholog_one2one	1
ENSTGUG00000000129	ENSTGUT00000000130	ENSG00000183775	KCTD16	ENSP00000426548	5	144170873	ortholog_one2one	1
ENSTGUG00000000130	ENSTGUT00000000134	ENSG00000154265	ABCA5	ENSP00000376443	17	69244311	ortholog_one2many	0
ENSTGUG00000000131	ENSTGUT00000000132	ENSG00000168993	CPLX1	ENSP00000305613	4	784957	ortholog_one2one	1
ENSTGUG00000000132	ENSTGUT00000000133	ENSG00000185619	PCGF3	ENSP00000354724	4	705748	ortholog_one2one	1
ENSTGUG00000000133	ENSTGUT00000000135	ENSG00000169026	SLC49A3	ENSP00000384616	4	681829	ortholog_one2one	1
ENSTGUG00000000133	ENSTGUT00000000136	ENSG00000169026	SLC49A3	ENSP00000384616	4	681829	ortholog_one2one	1
ENSTGUG00000000134	ENSTGUT00000000137	ENSG00000145817	YIPF5	ENSP00000274496	5	144158162	ortholog_one2one	1
